node1,node2,Heuristic distance,route_distance
Agra,Lucknow,294,330
Agra,Rajsamand,474,574
Agra,Raebareli,339,401
Agra,Patna,732,839
Agra,Gaya,748,871
Agra,Kota,305,401
Agra,Sikar,287,353
Agra,Prayagraj,429,472
Agra,Bhopal,438,536
Agra,Una,504,610
Agra,Bundi,304,408
Agra,Sarangarh,804,1002
Agra,Lakhimpur,286,363
Agra,Madhepura,840,970
Agra,Arrah,688,787
Agra,Daudnagar,681,800
Agra,Belagavi,1305,1561
Agra,Hanamkonda,1027,1257
Agra,Sitamarhi,747,887
Agra,Morena,75,82
Agra,Agra,0,0
Agra,Sitapur,267,326
Agra,Delhi,191,227
Agra,Faridabad,152,178
Agra,Jodhpur,506,570
Agra,Mahoba,280,371
Agra,Pakur,1025,1218
Agra,Sagar,376,421
Agra,Baghpat,210,270
Agra,Nawada,795,931
Agra,Bikaner,472,571
Agra,Mirzapur,508,567
Agra,Ghazipur,582,677
Agra,Jaipur,222,239
Agra,Durgapur,1019,1104
Agra,Chitrakoot,361,426
Agra,Aligarh,80,91
Agra,Rohtas,644,728
Agra,Palamu,715,886
Agra,Araria,947,1098
Agra,Dholpur,54,55
Agra,Calicut,1777,2233
Agra,Jehanabad,730,872
Agra,Bhagalpur,921,1070
Agra,Sri Ganganagar,504,620
Agra,Balaghat,633,793
Aligarh,Lucknow,305,333
Aligarh,Rajsamand,523,619
Aligarh,Raebareli,364,404
Aligarh,Patna,746,842
Aligarh,Gaya,770,874
Aligarh,Kota,370,446
Aligarh,Sikar,292,358
Aligarh,Prayagraj,462,501
Aligarh,Bhopal,518,630
Aligarh,Una,433,505
Aligarh,Bundi,365,453
Aligarh,Sarangarh,862,1095
Aligarh,Lakhimpur,264,328
Aligarh,Madhepura,844,973
Aligarh,Arrah,703,790
Aligarh,Daudnagar,704,803
Aligarh,Belagavi,1384,1660
Aligarh,Hanamkonda,1105,1350
Aligarh,Sitamarhi,748,890
Aligarh,Morena,155,175
Aligarh,Agra,80,93
Aligarh,Sitapur,258,306
Aligarh,Delhi,131,163
Aligarh,Faridabad,94,117
Aligarh,Jodhpur,534,615
Aligarh,Mahoba,339,444
Aligarh,Pakur,1039,1221
Aligarh,Sagar,454,514
Aligarh,Baghpat,143,165
Aligarh,Nawada,815,934
Aligarh,Bikaner,470,525
Aligarh,Mirzapur,541,597
Aligarh,Ghazipur,603,680
Aligarh,Jaipur,252,284
Aligarh,Durgapur,1044,1133
Aligarh,Chitrakoot,409,491
Aligarh,Aligarh,0,0
Aligarh,Rohtas,668,773
Aligarh,Palamu,751,916
Aligarh,Araria,949,1101
Aligarh,Dholpur,134,148
Aligarh,Calicut,1857,2326
Aligarh,Jehanabad,748,875
Aligarh,Bhagalpur,932,1073
Aligarh,Sri Ganganagar,467,588
Aligarh,Balaghat,706,886
Araria,Lucknow,653,763
Araria,Rajsamand,1367,1635
Araria,Raebareli,619,731
Araria,Patna,239,313
Araria,Gaya,287,396
Araria,Kota,1167,1396
Araria,Sikar,1233,1448
Araria,Prayagraj,567,673
Araria,Bhopal,1064,1294
Araria,Una,1240,1617
Araria,Bundi,1186,1428
Araria,Sarangarh,672,962
Araria,Lakhimpur,691,830
Araria,Madhepura,107,131
Araria,Arrah,286,355
Araria,Daudnagar,330,417
Araria,Belagavi,1761,2176
Araria,Hanamkonda,1213,1647
Araria,Sitamarhi,201,238
Araria,Morena,945,1113
Araria,Agra,947,1096
Araria,Sitapur,691,853
Araria,Delhi,1061,1275
Araria,Faridabad,1034,1272
Araria,Jodhpur,1441,1665
Araria,Mahoba,764,911
Araria,Pakur,170,236
Araria,Sagar,915,1126
Araria,Baghpat,1056,1278
Araria,Nawada,236,320
Araria,Bikaner,1417,1666
Araria,Mirzapur,503,597
Araria,Ghazipur,393,470
Araria,Jaipur,1165,1334
Araria,Durgapur,289,382
Araria,Chitrakoot,669,799
Araria,Aligarh,949,1111
Araria,Rohtas,364,449
Araria,Palamu,422,573
Araria,Araria,0,0
Araria,Dholpur,955,1126
Araria,Calicut,2052,2617
Araria,Jehanabad,267,362
Araria,Bhagalpur,110,137
Araria,Sri Ganganagar,1397,1716
Araria,Balaghat,880,1210
Arrah,Lucknow,398,452
Arrah,Rajsamand,1086,1325
Arrah,Raebareli,350,421
Arrah,Patna,47,52
Arrah,Gaya,90,130
Arrah,Kota,886,1086
Arrah,Sikar,975,1138
Arrah,Prayagraj,283,308
Arrah,Bhopal,778,940
Arrah,Una,1050,1307
Arrah,Bundi,906,1118
Arrah,Sarangarh,468,639
Arrah,Lakhimpur,468,595
Arrah,Madhepura,185,224
Arrah,Arrah,0,0
Arrah,Daudnagar,63,87
Arrah,Belagavi,1507,1820
Arrah,Hanamkonda,988,1321
Arrah,Sitamarhi,141,171
Arrah,Morena,675,802
Arrah,Agra,688,786
Arrah,Sitapur,455,543
Arrah,Delhi,826,964
Arrah,Faridabad,794,961
Arrah,Jodhpur,1168,1354
Arrah,Mahoba,481,557
Arrah,Pakur,336,432
Arrah,Sagar,629,772
Arrah,Baghpat,826,967
Arrah,Nawada,115,155
Arrah,Bikaner,1161,1356
Arrah,Mirzapur,216,242
Arrah,Ghazipur,109,122
Arrah,Jaipur,899,1024
Arrah,Durgapur,350,443
Arrah,Chitrakoot,384,445
Arrah,Aligarh,703,801
Arrah,Rohtas,84,94
Arrah,Palamu,198,247
Arrah,Araria,286,352
Arrah,Dholpur,689,816
Arrah,Calicut,1838,2328
Arrah,Jehanabad,49,80
Arrah,Bhagalpur,234,283
Arrah,Sri Ganganagar,1167,1406
Arrah,Balaghat,616,855
Baghpat,Lucknow,433,496
Baghpat,Rajsamand,542,661
Baghpat,Raebareli,498,567
Baghpat,Patna,866,1005
Baghpat,Gaya,898,1037
Baghpat,Kota,434,542
Baghpat,Sikar,252,307
Baghpat,Prayagraj,600,664
Baghpat,Bhopal,629,853
Baghpat,Una,294,348
Baghpat,Bundi,419,549
Baghpat,Sarangarh,1005,1265
Baghpat,Lakhimpur,364,430
Baghpat,Madhepura,954,1136
Baghpat,Arrah,826,953
Baghpat,Daudnagar,833,966
Baghpat,Belagavi,1476,1756
Baghpat,Hanamkonda,1234,1520
Baghpat,Sitamarhi,856,1053
Baghpat,Morena,281,345
Baghpat,Agra,210,265
Baghpat,Sitapur,371,433
Baghpat,Delhi,29,48
Baghpat,Faridabad,59,67
Baghpat,Jodhpur,511,593
Baghpat,Mahoba,482,607
Baghpat,Pakur,1158,1384
Baghpat,Sagar,585,684
Baghpat,Baghpat,0,0
Baghpat,Nawada,939,1097
Baghpat,Bikaner,396,457
Baghpat,Mirzapur,676,760
Baghpat,Ghazipur,730,843
Baghpat,Jaipur,265,326
Baghpat,Durgapur,1172,1296
Baghpat,Chitrakoot,551,653
Baghpat,Aligarh,143,162
Baghpat,Rohtas,798,936
Baghpat,Palamu,888,1079
Baghpat,Araria,1056,1264
Baghpat,Dholpur,257,318
Baghpat,Calicut,1963,2442
Baghpat,Jehanabad,873,1038
Baghpat,Bhagalpur,1049,1236
Baghpat,Sri Ganganagar,342,432
Baghpat,Balaghat,843,1056
Balaghat,Lucknow,563,732
Balaghat,Rajsamand,737,999
Balaghat,Raebareli,501,655
Balaghat,Patna,656,907
Balaghat,Gaya,592,885
Balaghat,Kota,579,768
Balaghat,Sikar,819,1107
Balaghat,Prayagraj,435,582
Balaghat,Bhopal,327,469
Balaghat,Una,1138,1400
Balaghat,Bundi,612,801
Balaghat,Sarangarh,300,439
Balaghat,Lakhimpur,682,902
Balaghat,Madhepura,794,1079
Balaghat,Arrah,616,855
Balaghat,Daudnagar,559,829
Balaghat,Belagavi,891,1089
Balaghat,Hanamkonda,426,538
Balaghat,Sitamarhi,755,1026
Balaghat,Morena,564,714
Balaghat,Agra,633,795
Balaghat,Sitapur,639,861
Balaghat,Delhi,823,1011
Balaghat,Faridabad,785,968
Balaghat,Jodhpur,877,1151
Balaghat,Mahoba,386,540
Balaghat,Pakur,844,1161
Balaghat,Sagar,269,353
Balaghat,Baghpat,843,1060
Balaghat,Nawada,645,944
Balaghat,Bikaner,976,1240
Balaghat,Mirzapur,440,614
Balaghat,Ghazipur,542,756
Balaghat,Jaipur,719,973
Balaghat,Durgapur,756,1024
Balaghat,Chitrakoot,379,504
Balaghat,Aligarh,706,883
Balaghat,Rohtas,532,794
Balaghat,Palamu,460,704
Balaghat,Araria,880,1207
Balaghat,Dholpur,588,738
Balaghat,Calicut,1258,1596
Balaghat,Jehanabad,618,897
Balaghat,Bhagalpur,790,1123
Balaghat,Sri Ganganagar,1096,1410
Balaghat,Balaghat,0,0
Belagavi,Lucknow,1389,1717
Belagavi,Rajsamand,1022,1269
Belagavi,Raebareli,1346,1617
Belagavi,Patna,1545,1869
Belagavi,Gaya,1476,1865
Belagavi,Kota,1046,1212
Belagavi,Sikar,1303,1576
Belagavi,Prayagraj,1307,1544
Belagavi,Bhopal,875,1086
Belagavi,Una,1739,2068
Belagavi,Bundi,1067,1245
Belagavi,Sarangarh,1104,1384
Belagavi,Lakhimpur,1487,1850
Belagavi,Madhepura,1681,2041
Belagavi,Arrah,1507,1817
Belagavi,Daudnagar,1448,1794
Belagavi,Belagavi,0,0
Belagavi,Hanamkonda,589,737
Belagavi,Sitamarhi,1647,1988
Belagavi,Morena,1233,1483
Belagavi,Agra,1305,1564
Belagavi,Sitapur,1445,1809
Belagavi,Delhi,1448,1719
Belagavi,Faridabad,1420,1684
Belagavi,Jodhpur,1160,1457
Belagavi,Mahoba,1186,1488
Belagavi,Pakur,1698,2137
Belagavi,Sagar,989,1260
Belagavi,Baghpat,1476,1786
Belagavi,Nawada,1525,1925
Belagavi,Bikaner,1353,1630
Belagavi,Mirzapur,1327,1576
Belagavi,Ghazipur,1433,1718
Belagavi,Jaipur,1232,1463
Belagavi,Durgapur,1588,2000
Belagavi,Chitrakoot,1227,1466
Belagavi,Aligarh,1384,1702
Belagavi,Rohtas,1422,1756
Belagavi,Palamu,1338,1711
Belagavi,Araria,1761,2169
Belagavi,Dholpur,1251,1507
Belagavi,Calicut,526,647
Belagavi,Jehanabad,1505,1866
Belagavi,Bhagalpur,1663,2100
Belagavi,Sri Ganganagar,1558,1878
Belagavi,Balaghat,891,1091
Bhagalpur,Lucknow,628,735
Bhagalpur,Rajsamand,1319,1608
Bhagalpur,Raebareli,584,704
Bhagalpur,Patna,188,233
Bhagalpur,Gaya,205,240
Bhagalpur,Kota,1119,1369
Bhagalpur,Sikar,1208,1421
Bhagalpur,Prayagraj,516,591
Bhagalpur,Bhopal,995,1223
Bhagalpur,Una,1255,1590
Bhagalpur,Bundi,1140,1401
Bhagalpur,Sarangarh,567,780
Bhagalpur,Lakhimpur,686,878
Bhagalpur,Madhepura,119,186
Bhagalpur,Arrah,234,283
Bhagalpur,Daudnagar,260,298
Bhagalpur,Belagavi,1663,2103
Bhagalpur,Hanamkonda,1108,1542
Bhagalpur,Sitamarhi,210,302
Bhagalpur,Morena,910,1086
Bhagalpur,Agra,921,1069
Bhagalpur,Sitapur,679,826
Bhagalpur,Delhi,1052,1248
Bhagalpur,Faridabad,1021,1244
Bhagalpur,Jodhpur,1403,1638
Bhagalpur,Mahoba,714,840
Bhagalpur,Pakur,110,151
Bhagalpur,Sagar,848,1055
Bhagalpur,Baghpat,1049,1250
Bhagalpur,Nawada,149,181
Bhagalpur,Bikaner,1394,1639
Bhagalpur,Mirzapur,444,525
Bhagalpur,Ghazipur,343,405
Bhagalpur,Jaipur,1134,1307
Bhagalpur,Durgapur,193,246
Bhagalpur,Chitrakoot,615,728
Bhagalpur,Aligarh,932,1084
Bhagalpur,Rohtas,298,344
Bhagalpur,Palamu,329,454
Bhagalpur,Araria,110,137
Bhagalpur,Dholpur,923,1099
Bhagalpur,Calicut,1945,2466
Bhagalpur,Jehanabad,200,225
Bhagalpur,Bhagalpur,0,0
Bhagalpur,Sri Ganganagar,1391,1689
Bhagalpur,Balaghat,790,1108
Bhopal,Lucknow,534,612
Bhopal,Rajsamand,410,573
Bhopal,Raebareli,509,579
Bhopal,Patna,824,990
Bhopal,Gaya,790,986
Bhopal,Kota,267,341
Bhopal,Sikar,533,705
Bhopal,Prayagraj,510,619
Bhopal,Bhopal,0,0
Bhopal,Una,916,1156
Bhopal,Bundi,299,375
Bhopal,Sarangarh,611,748
Bhopal,Lakhimpur,619,745
Bhopal,Madhepura,962,1164
Bhopal,Arrah,778,938
Bhopal,Daudnagar,736,915
Bhopal,Belagavi,875,1087
Bhopal,Hanamkonda,623,793
Bhopal,Sitamarhi,896,1085
Bhopal,Morena,363,460
Bhopal,Agra,438,542
Bhopal,Sitapur,579,703
Bhopal,Delhi,603,783
Bhopal,Faridabad,570,748
Bhopal,Jodhpur,553,724
Bhopal,Mahoba,337,383
Bhopal,Pakur,1073,1362
Bhopal,Sagar,149,169
Bhopal,Baghpat,629,849
Bhopal,Nawada,846,1045
Bhopal,Bikaner,669,814
Bhopal,Mirzapur,562,683
Bhopal,Ghazipur,676,821
Bhopal,Jaipur,436,593
Bhopal,Durgapur,1012,1252
Bhopal,Chitrakoot,410,504
Bhopal,Aligarh,518,630
Bhopal,Rohtas,700,876
Bhopal,Palamu,685,890
Bhopal,Araria,1064,1292
Bhopal,Dholpur,383,484
Bhopal,Calicut,1339,1711
Bhopal,Jehanabad,798,987
Bhopal,Bhagalpur,995,1221
Bhopal,Sri Ganganagar,816,1050
Bhopal,Balaghat,327,469
Bikaner,Lucknow,766,855
Bikaner,Rajsamand,332,422
Bikaner,Raebareli,811,926
Bikaner,Patna,1205,1363
Bikaner,Gaya,1219,1396
Bikaner,Kota,401,476
Bikaner,Sikar,185,221
Bikaner,Prayagraj,895,1042
Bikaner,Bhopal,669,813
Bikaner,Una,477,608
Bikaner,Bundi,369,439
Bikaner,Sarangarh,1217,1543
Bikaner,Lakhimpur,734,884
Bikaner,Madhepura,1311,1494
Bikaner,Arrah,1161,1311
Bikaner,Daudnagar,1153,1325
Bikaner,Belagavi,1353,1628
Bikaner,Hanamkonda,1280,1619
Bikaner,Sitamarhi,1216,1411
Bikaner,Morena,493,622
Bikaner,Agra,472,570
Bikaner,Sitapur,727,827
Bikaner,Delhi,379,423
Bikaner,Faridabad,395,445
Bikaner,Jodhpur,199,253
Bikaner,Mahoba,720,941
Bikaner,Pakur,1498,1743
Bikaner,Sagar,714,919
Bikaner,Baghpat,396,456
Bikaner,Nawada,1267,1455
Bikaner,Bikaner,0,0
Bikaner,Mirzapur,975,1138
Bikaner,Ghazipur,1055,1202
Bikaner,Jaipur,273,334
Bikaner,Durgapur,1489,1674
Bikaner,Chitrakoot,815,996
Bikaner,Aligarh,470,523
Bikaner,Rohtas,1115,1298
Bikaner,Palamu,1175,1457
Bikaner,Araria,1417,1623
Bikaner,Dholpur,476,595
Bikaner,Calicut,1873,2314
Bikaner,Jehanabad,1202,1397
Bikaner,Bhagalpur,1394,1594
Bikaner,Sri Ganganagar,216,241
Bikaner,Balaghat,976,1240
Bundi,Lucknow,552,667
Bundi,Rajsamand,182,231
Bundi,Raebareli,568,695
Bundi,Patna,953,1162
Bundi,Gaya,945,1120
Bundi,Kota,32,38
Bundi,Sikar,246,331
Bundi,Prayagraj,623,753
Bundi,Bhopal,299,374
Bundi,Una,671,823
Bundi,Bundi,0,0
Bundi,Sarangarh,869,1081
Bundi,Lakhimpur,581,757
Bundi,Madhepura,1079,1293
Bundi,Arrah,906,1110
Bundi,Daudnagar,882,1049
Bundi,Belagavi,1067,1245
Bundi,Hanamkonda,916,1181
Bundi,Sitamarhi,994,1210
Bundi,Morena,262,346
Bundi,Agra,304,407
Bundi,Sitapur,554,733
Bundi,Delhi,390,475
Bundi,Faridabad,369,440
Bundi,Jodhpur,277,350
Bundi,Mahoba,426,517
Bundi,Pakur,1234,1496
Bundi,Sagar,359,481
Bundi,Baghpat,419,541
Bundi,Nawada,999,1179
Bundi,Bikaner,369,440
Bundi,Mirzapur,697,825
Bundi,Ghazipur,797,955
Bundi,Jaipur,164,219
Bundi,Durgapur,1200,1386
Bundi,Chitrakoot,526,638
Bundi,Aligarh,365,457
Bundi,Rohtas,843,1010
Bundi,Palamu,873,1084
Bundi,Araria,1186,1421
Bundi,Dholpur,264,337
Bundi,Calicut,1568,1930
Bundi,Jehanabad,940,1121
Bundi,Bhagalpur,1140,1393
Bundi,Sri Ganganagar,525,676
Bundi,Balaghat,612,802
Calicut,Lucknow,1808,2224
Calicut,Rajsamand,1541,1978
Calicut,Raebareli,1754,2124
Calicut,Patna,1867,2376
Calicut,Gaya,1786,2372
Calicut,Kota,1544,1894
Calicut,Sikar,1811,2258
Calicut,Prayagraj,1694,2051
Calicut,Bhopal,1339,1708
Calicut,Una,2238,2750
Calicut,Bundi,1568,1927
Calicut,Sarangarh,1382,1863
Calicut,Lakhimpur,1919,2357
Calicut,Madhepura,1991,2547
Calicut,Arrah,1838,2324
Calicut,Daudnagar,1775,2301
Calicut,Belagavi,526,647
Calicut,Hanamkonda,850,1059
Calicut,Sitamarhi,1979,2494
Calicut,Morena,1702,2152
Calicut,Agra,1777,2234
Calicut,Sitapur,1876,2315
Calicut,Delhi,1936,2401
Calicut,Faridabad,1905,2366
Calicut,Jodhpur,1683,2166
Calicut,Mahoba,1612,1995
Calicut,Pakur,1953,2430
Calicut,Sagar,1427,1805
Calicut,Baghpat,1963,2468
Calicut,Nawada,1826,2431
Calicut,Bikaner,1873,2312
Calicut,Mirzapur,1694,2083
Calicut,Ghazipur,1785,2224
Calicut,Jaipur,1732,2145
Calicut,Durgapur,1826,2264
Calicut,Chitrakoot,1631,1973
Calicut,Aligarh,1857,2322
Calicut,Rohtas,1758,2262
Calicut,Palamu,1647,2169
Calicut,Araria,2052,2643
Calicut,Dholpur,1723,2176
Calicut,Calicut,0,0
Calicut,Jehanabad,1824,2373
Calicut,Bhagalpur,1945,2495
Calicut,Sri Ganganagar,2074,2560
Calicut,Balaghat,1258,1597
Chitrakoot,Lucknow,185,228
Chitrakoot,Rajsamand,704,846
Chitrakoot,Raebareli,122,151
Chitrakoot,Patna,432,495
Chitrakoot,Gaya,419,491
Chitrakoot,Kota,504,606
Chitrakoot,Sikar,631,776
Chitrakoot,Prayagraj,102,124
Chitrakoot,Bhopal,410,504
Chitrakoot,Una,829,1006
Chitrakoot,Bundi,526,638
Chitrakoot,Sarangarh,457,686
Chitrakoot,Lakhimpur,306,357
Chitrakoot,Madhepura,564,669
Chitrakoot,Arrah,384,443
Chitrakoot,Daudnagar,356,420
Chitrakoot,Belagavi,1227,1469
Chitrakoot,Hanamkonda,805,1001
Chitrakoot,Sitamarhi,490,590
Chitrakoot,Morena,322,423
Chitrakoot,Agra,361,424
Chitrakoot,Sitapur,265,316
Chitrakoot,Delhi,540,641
Chitrakoot,Faridabad,502,600
Chitrakoot,Jodhpur,795,988
Chitrakoot,Mahoba,99,121
Chitrakoot,Pakur,708,867
Chitrakoot,Sagar,261,336
Chitrakoot,Baghpat,551,666
Chitrakoot,Nawada,473,550
Chitrakoot,Bikaner,815,995
Chitrakoot,Mirzapur,171,196
Chitrakoot,Ghazipur,276,326
Chitrakoot,Jaipur,543,662
Chitrakoot,Durgapur,679,757
Chitrakoot,Chitrakoot,0,0
Chitrakoot,Aligarh,409,501
Chitrakoot,Rohtas,318,381
Chitrakoot,Palamu,359,540
Chitrakoot,Araria,669,797
Chitrakoot,Dholpur,342,447
Chitrakoot,Calicut,1631,1977
Chitrakoot,Jehanabad,415,492
Chitrakoot,Bhagalpur,615,726
Chitrakoot,Sri Ganganagar,866,1045
Chitrakoot,Balaghat,379,504
Daudnagar,Lucknow,399,466
Daudnagar,Rajsamand,1060,1259
Daudnagar,Raebareli,342,435
Daudnagar,Patna,96,105
Daudnagar,Gaya,66,71
Daudnagar,Kota,860,1019
Daudnagar,Sikar,967,1151
Daudnagar,Prayagraj,261,285
Daudnagar,Bhopal,736,917
Daudnagar,Una,1069,1321
Daudnagar,Bundi,882,1051
Daudnagar,Sarangarh,404,553
Daudnagar,Lakhimpur,484,609
Daudnagar,Madhepura,235,288
Daudnagar,Arrah,63,87
Daudnagar,Daudnagar,0,0
Daudnagar,Belagavi,1448,1797
Daudnagar,Hanamkonda,925,1235
Daudnagar,Sitamarhi,204,235
Daudnagar,Morena,662,772
Daudnagar,Agra,681,800
Daudnagar,Sitapur,465,557
Daudnagar,Delhi,831,978
Daudnagar,Faridabad,797,975
Daudnagar,Jodhpur,1149,1368
Daudnagar,Mahoba,455,534
Daudnagar,Pakur,351,447
Daudnagar,Sagar,589,749
Daudnagar,Baghpat,833,981
Daudnagar,Nawada,116,130
Daudnagar,Bikaner,1153,1370
Daudnagar,Mirzapur,185,219
Daudnagar,Ghazipur,102,136
Daudnagar,Jaipur,886,1038
Daudnagar,Durgapur,339,377
Daudnagar,Chitrakoot,356,422
Daudnagar,Aligarh,704,815
Daudnagar,Rohtas,38,46
Daudnagar,Palamu,135,160
Daudnagar,Araria,330,416
Daudnagar,Dholpur,677,830
Daudnagar,Calicut,1775,2305
Daudnagar,Jehanabad,62,72
Daudnagar,Bhagalpur,260,298
Daudnagar,Sri Ganganagar,1170,1420
Daudnagar,Balaghat,559,815
Delhi,Lucknow,431,497
Delhi,Rajsamand,514,621
Delhi,Raebareli,493,568
Delhi,Patna,867,1005
Delhi,Gaya,896,1038
Delhi,Kota,405,467
Delhi,Sikar,227,273
Delhi,Prayagraj,593,665
Delhi,Bhopal,603,778
Delhi,Una,316,365
Delhi,Bundi,390,474
Delhi,Sarangarh,991,1220
Delhi,Lakhimpur,370,451
Delhi,Madhepura,958,1137
Delhi,Arrah,826,953
Delhi,Daudnagar,831,967
Delhi,Belagavi,1448,1681
Delhi,Hanamkonda,1210,1475
Delhi,Sitamarhi,861,1054
Delhi,Morena,260,300
Delhi,Agra,191,220
Delhi,Sitapur,373,454
Delhi,Delhi,0,0
Delhi,Faridabad,38,46
Delhi,Jodhpur,486,559
Delhi,Mahoba,467,587
Delhi,Pakur,1160,1385
Delhi,Sagar,563,639
Delhi,Baghpat,29,55
Delhi,Nawada,939,1098
Delhi,Bikaner,379,424
Delhi,Mirzapur,671,761
Delhi,Ghazipur,728,844
Delhi,Jaipur,237,286
Delhi,Durgapur,1170,1297
Delhi,Chitrakoot,540,642
Delhi,Aligarh,131,163
Delhi,Rohtas,796,937
Delhi,Palamu,882,1080
Delhi,Araria,1061,1265
Delhi,Dholpur,235,273
Delhi,Calicut,1936,2367
Delhi,Jehanabad,872,1039
Delhi,Bhagalpur,1052,1236
Delhi,Sri Ganganagar,340,408
Delhi,Balaghat,823,1011
Dholpur,Lucknow,304,360
Dholpur,Rajsamand,440,533
Dholpur,Raebareli,339,430
Dholpur,Patna,734,868
Dholpur,Gaya,743,901
Dholpur,Kota,261,335
Dholpur,Sikar,290,399
Dholpur,Prayagraj,419,490
Dholpur,Bhopal,383,481
Dholpur,Una,551,662
Dholpur,Bundi,264,339
Dholpur,Sarangarh,773,947
Dholpur,Lakhimpur,317,402
Dholpur,Madhepura,848,999
Dholpur,Arrah,689,816
Dholpur,Daudnagar,677,829
Dholpur,Belagavi,1251,1506
Dholpur,Hanamkonda,977,1201
